Protein	dim1
362663.ECP_1681	413
362663.ECP_1684	414
362663.ECP_3858	415
362663.ECP_3222	416
362663.ECP_3859	417
362663.ECP_3229	418
362663.ECP_3228	419
362663.ECP_0966	420
362663.ECP_2133	421
362663.ECP_4095	422
362663.ECP_2990	423
362663.ECP_4665	424
362663.ECP_4666	425
362663.ECP_0810	426
362663.ECP_3308	427
362663.ECP_2989	428
362663.ECP_0132	429
362663.ECP_0807	430
362663.ECP_0808	431
362663.ECP_0809	432
362663.ECP_3761	433
362663.ECP_0806	434
362663.ECP_1679	435
362663.ECP_1682	436
362663.ECP_1683	437
362663.ECP_3428	438
362663.ECP_4094	439
362663.ECP_1001	440
362663.ECP_3309	441
362663.ECP_3169	442
362663.ECP_3306	443
362663.ECP_4096	444
362663.ECP_0417	445
362663.ECP_3168	446
362663.ECP_3672	447
362663.ECP_4097	448
362663.ECP_3993	449
362663.ECP_3167	450
362663.ECP_0767	451
362663.ECP_3922	452
362663.ECP_1586	453
362663.ECP_1113	454
362663.ECP_2450	455
362663.ECP_2676	456
362663.ECP_4093	457
362663.ECP_4362	458
362663.ECP_1680	459
362663.ECP_2677	460
362663.ECP_1245	461
362663.ECP_3619	462
362663.ECP_4489	463
362663.ECP_2752	464
362663.ECP_2828	465
362663.ECP_0691	466
362663.ECP_2451	467
362663.ECP_1839	468
362663.ECP_1838	469
362663.ECP_2412	470
362663.ECP_2440	471
362663.ECP_4488	472
362663.ECP_1093	473
362663.ECP_2827	474
362663.ECP_2441	475
362663.ECP_2414	476
362663.ECP_1728	477
362663.ECP_2171	478
362663.ECP_2409	479
362663.ECP_2413	480
362663.ECP_3760	481
362663.ECP_3758	482
362663.ECP_3759	483
362663.ECP_4662	484
362663.ECP_2388	485
362663.ECP_2753	486
362663.ECP_0462	487
362663.ECP_3668	488
362663.ECP_4161	489
362663.ECP_2439	490
362663.ECP_2209	491
362663.ECP_4162	492
362663.ECP_1516	493
362663.ECP_3920	494
362663.ECP_3921	495
362663.ECP_0416	496
362663.ECP_1538	497
362663.ECP_4163	498
362663.ECP_0768	499
362663.ECP_0770	500
362663.ECP_3523	501
362663.ECP_3697	502
362663.ECP_3423	503
362663.ECP_1100	504
362663.ECP_2207	505
362663.ECP_3675	506
362663.ECP_1861	507
362663.ECP_1246	508
362663.ECP_3502	509
362663.ECP_2895	510
362663.ECP_2754	511
362663.ECP_4482	512
362663.ECP_0415	513
362663.ECP_4620	514
362663.ECP_4619	515
362663.ECP_3522	516
362663.ECP_3525	517
362663.ECP_3526	518
362663.ECP_3503	519
362663.ECP_3524	520
362663.ECP_3424	521
362663.ECP_4318	522
362663.ECP_4315	523
362663.ECP_4316	524
362663.ECP_4314	525
362663.ECP_4317	526
362663.ECP_0709	527
362663.ECP_4028	528
362663.ECP_1565	529
362663.ECP_2786	530
362663.ECP_0769	531
362663.ECP_2076	532
362663.ECP_1099	533
362663.ECP_1235	534
362663.ECP_2071	535
362663.ECP_1283	536
362663.ECP_2082	537
362663.ECP_1361	538
362663.ECP_2787	539
362663.ECP_2785	540
362663.ECP_3171	541
362663.ECP_0110	542
362663.ECP_0111	543
362663.ECP_0882	544
362663.ECP_2661	545
362663.ECP_2456	546
362663.ECP_3699	547
362663.ECP_2132	548
362663.ECP_2130	549
362663.ECP_3109	550
362663.ECP_2131	551
362663.ECP_1774	552
362663.ECP_2291	553
362663.ECP_2290	554
362663.ECP_2289	555
362663.ECP_3953	556
362663.ECP_2129	557
362663.ECP_0689	558
362663.ECP_0690	559
362663.ECP_1775	560
362663.ECP_2927	561
362663.ECP_2208	562
362663.ECP_4481	563
362663.ECP_4134	564
362663.ECP_0454	565
362663.ECP_1557	566
362663.ECP_4243	567
362663.ECP_3755	568
362663.ECP_2750	569
362663.ECP_2387	570
362663.ECP_0688	571
362663.ECP_2926	572
362663.ECP_3698	573
362663.ECP_4160	574
362663.ECP_4233	575
362663.ECP_4238	576
362663.ECP_1670	577
362663.ECP_4125	578
362663.ECP_4236	579
362663.ECP_1760	580
362663.ECP_4027	581
362663.ECP_2135	582
362663.ECP_3757	583
362663.ECP_4327	584
362663.ECP_2665	585
362663.ECP_4234	586
362663.ECP_4237	587
